match_id,bowler,player_team,against_team,runs_conceded,wickets,balls_bowled,year,against_team
335987,JR Hopes,Rajasthan Royals,Kings XI Punjab,36,1,25,2008,Rajasthan Royals
335987,MM Patel,Kings XI Punjab,Rajasthan Royals,36,2,24,2008,Kings XI Punjab
335987,PP Chawla,Rajasthan Royals,Kings XI Punjab,27,0,12,2008,Rajasthan Royals
335987,Pankaj Singh,Kings XI Punjab,Rajasthan Royals,12,0,6,2008,Kings XI Punjab
335987,S Sreesanth,Rajasthan Royals,Kings XI Punjab,43,1,24,2008,Rajasthan Royals
335987,SK Trivedi,Kings XI Punjab,Rajasthan Royals,25,2,24,2008,Kings XI Punjab
335987,SK Warne,Kings XI Punjab,Rajasthan Royals,19,3,24,2008,Kings XI Punjab
335987,SR Watson,Kings XI Punjab,Rajasthan Royals,40,0,25,2008,Kings XI Punjab
335987,WA Mota,Rajasthan Royals,Kings XI Punjab,12,0,6,2008,Rajasthan Royals
335987,YK Pathan,Kings XI Punjab,Rajasthan Royals,13,0,6,2008,Kings XI Punjab
335988,A Symonds,Delhi Daredevils,Deccan Chargers,35,0,12,2008,Delhi Daredevils
335988,GD McGrath,Deccan Chargers,Delhi Daredevils,24,0,24,2008,Deccan Chargers
335988,MF Maharoof,Deccan Chargers,Delhi Daredevils,37,2,25,2008,Deccan Chargers
335988,Mohammad Asif,Deccan Chargers,Delhi Daredevils,21,2,24,2008,Deccan Chargers
335988,PP Ojha,Delhi Daredevils,Deccan Chargers,21,0,8,2008,Delhi Daredevils
335988,R Bhatia,Deccan Chargers,Delhi Daredevils,27,3,24,2008,Deccan Chargers
335988,RP Singh,Delhi Daredevils,Deccan Chargers,28,1,19,2008,Delhi Daredevils
335988,SB Bangar,Delhi Daredevils,Deccan Chargers,31,0,13,2008,Delhi Daredevils
335988,Shahid Afridi,Delhi Daredevils,Deccan Chargers,17,0,12,2008,Delhi Daredevils
335988,VY Mahesh,Deccan Chargers,Delhi Daredevils,38,1,25,2008,Deccan Chargers
335988,WPUJC Vaas,Delhi Daredevils,Deccan Chargers,23,0,19,2008,Delhi Daredevils
335989,A Nehra,Chennai Super Kings,Mumbai Indians,38,2,27,2008,Chennai Super Kings
335989,AM Nayar,Chennai Super Kings,Mumbai Indians,14,0,6,2008,Chennai Super Kings
335989,DJ Bravo,Chennai Super Kings,Mumbai Indians,39,0,19,2008,Chennai Super Kings
335989,DS Kulkarni,Chennai Super Kings,Mumbai Indians,26,1,19,2008,Chennai Super Kings
335989,Harbhajan Singh,Chennai Super Kings,Mumbai Indians,16,0,12,2008,Chennai Super Kings
335989,JDP Oram,Mumbai Indians,Chennai Super Kings,55,1,26,2008,Mumbai Indians
335989,Joginder Sharma,Mumbai Indians,Chennai Super Kings,30,2,25,2008,Mumbai Indians
335989,M Muralitharan,Mumbai Indians,Chennai Super Kings,44,2,28,2008,Mumbai Indians
335989,MA Khote,Chennai Super Kings,Mumbai Indians,31,2,18,2008,Chennai Super Kings
335989,MS Gony,Mumbai Indians,Chennai Super Kings,29,1,25,2008,Mumbai Indians
335989,P Amarnath,Mumbai Indians,Chennai Super Kings,57,1,24,2008,Mumbai Indians
335989,SM Pollock,Chennai Super Kings,Mumbai Indians,41,0,19,2008,Chennai Super Kings
335989,VS Yeligati,Chennai Super Kings,Mumbai Indians,21,0,7,2008,Chennai Super Kings
335990,A Symonds,Rajasthan Royals,Deccan Chargers,48,0,17,2008,Rajasthan Royals
335990,D Kalyankrishna,Rajasthan Royals,Deccan Chargers,30,1,18,2008,Rajasthan Royals
335990,D Salunkhe,Deccan Chargers,Rajasthan Royals,9,0,6,2008,Deccan Chargers
335990,MM Patel,Deccan Chargers,Rajasthan Royals,57,0,26,2008,Deccan Chargers
335990,PP Ojha,Rajasthan Royals,Deccan Chargers,23,0,12,2008,Rajasthan Royals
335990,Pankaj Singh,Deccan Chargers,Rajasthan Royals,14,0,12,2008,Deccan Chargers
335990,RP Singh,Rajasthan Royals,Deccan Chargers,52,2,26,2008,Rajasthan Royals
335990,SK Trivedi,Deccan Chargers,Rajasthan Royals,38,0,19,2008,Deccan Chargers
335990,SK Warne,Deccan Chargers,Rajasthan Royals,48,2,25,2008,Deccan Chargers
335990,SR Watson,Deccan Chargers,Rajasthan Royals,34,1,26,2008,Deccan Chargers
335990,Shahid Afridi,Rajasthan Royals,Deccan Chargers,29,3,25,2008,Rajasthan Royals
335990,WPUJC Vaas,Rajasthan Royals,Deccan Chargers,42,1,24,2008,Rajasthan Royals
335990,YK Pathan,Deccan Chargers,Rajasthan Royals,20,2,12,2008,Deccan Chargers
335991,A Nehra,Kings XI Punjab,Mumbai Indians,22,2,18,2008,Kings XI Punjab
335991,B Lee,Mumbai Indians,Kings XI Punjab,11,2,24,2008,Mumbai Indians
335991,DJ Bravo,Kings XI Punjab,Mumbai Indians,27,0,18,2008,Kings XI Punjab
335991,DS Kulkarni,Kings XI Punjab,Mumbai Indians,41,3,26,2008,Kings XI Punjab
335991,Harbhajan Singh,Kings XI Punjab,Mumbai Indians,36,4,25,2008,Kings XI Punjab
335991,IK Pathan,Mumbai Indians,Kings XI Punjab,21,2,26,2008,Mumbai Indians
335991,MA Khote,Kings XI Punjab,Mumbai Indians,22,0,12,2008,Kings XI Punjab
335991,PP Chawla,Mumbai Indians,Kings XI Punjab,17,2,25,2008,Mumbai Indians
335991,S Sreesanth,Mumbai Indians,Kings XI Punjab,33,2,26,2008,Mumbai Indians
335991,SM Pollock,Kings XI Punjab,Mumbai Indians,41,1,25,2008,Kings XI Punjab
335991,VRV Singh,Mumbai Indians,Kings XI Punjab,41,1,25,2008,Mumbai Indians
335992,A Kumble,Rajasthan Royals,Royal Challengers Bangalore,23,0,25,2008,Rajasthan Royals
335992,JH Kallis,Rajasthan Royals,Royal Challengers Bangalore,7,0,6,2008,Rajasthan Royals
335992,MM Patel,Royal Challengers Bangalore,Rajasthan Royals,20,2,18,2008,Royal Challengers Bangalore
335992,P Kumar,Rajasthan Royals,Royal Challengers Bangalore,42,1,18,2008,Rajasthan Royals
335992,R Vinay Kumar,Rajasthan Royals,Royal Challengers Bangalore,16,0,13,2008,Rajasthan Royals
335992,SB Joshi,Rajasthan Royals,Royal Challengers Bangalore,27,1,19,2008,Rajasthan Royals
335992,SK Trivedi,Royal Challengers Bangalore,Rajasthan Royals,31,1,26,2008,Royal Challengers Bangalore
335992,SK Warne,Royal Challengers Bangalore,Rajasthan Royals,25,2,24,2008,Royal Challengers Bangalore
335992,SR Watson,Royal Challengers Bangalore,Rajasthan Royals,21,3,25,2008,Royal Challengers Bangalore
335992,Sohail Tanvir,Royal Challengers Bangalore,Rajasthan Royals,34,0,25,2008,Royal Challengers Bangalore
335992,YK Pathan,Royal Challengers Bangalore,Rajasthan Royals,10,0,6,2008,Royal Challengers Bangalore
335992,Z Khan,Rajasthan Royals,Royal Challengers Bangalore,26,1,24,2008,Rajasthan Royals
335993,AB Agarkar,Chennai Super Kings,Kolkata Knight Riders,21,1,18,2008,Chennai Super Kings
335993,AB Dinda,Chennai Super Kings,Kolkata Knight Riders,31,0,20,2008,Chennai Super Kings
335993,DJ Hussey,Chennai Super Kings,Kolkata Knight Riders,10,0,6,2008,Chennai Super Kings
335993,I Sharma,Chennai Super Kings,Kolkata Knight Riders,36,0,20,2008,Chennai Super Kings
335993,JDP Oram,Kolkata Knight Riders,Chennai Super Kings,32,3,24,2008,Kolkata Knight Riders
335993,Joginder Sharma,Kolkata Knight Riders,Chennai Super Kings,34,2,26,2008,Kolkata Knight Riders
335993,LR Shukla,Chennai Super Kings,Kolkata Knight Riders,20,0,12,2008,Chennai Super Kings
335993,M Kartik,Chennai Super Kings,Kolkata Knight Riders,35,0,18,2008,Chennai Super Kings
335993,M Muralitharan,Kolkata Knight Riders,Chennai Super Kings,17,0,27,2008,Kolkata Knight Riders
335993,MS Gony,Kolkata Knight Riders,Chennai Super Kings,41,2,25,2008,Kolkata Knight Riders
335993,Mohammad Hafeez,Chennai Super Kings,Kolkata Knight Riders,17,0,13,2008,Chennai Super Kings
335993,P Amarnath,Kolkata Knight Riders,Chennai Super Kings,31,2,24,2008,Kolkata Knight Riders
335994,A Nehra,Deccan Chargers,Mumbai Indians,19,0,12,2008,Deccan Chargers
335994,AM Nayar,Deccan Chargers,Mumbai Indians,23,0,7,2008,Deccan Chargers
335994,D Kalyankrishna,Mumbai Indians,Deccan Chargers,23,0,12,2008,Mumbai Indians
335994,DJ Bravo,Deccan Chargers,Mumbai Indians,33,0,15,2008,Deccan Chargers
335994,DNT Zoysa,Mumbai Indians,Deccan Chargers,32,1,26,2008,Mumbai Indians
335994,DS Kulkarni,Deccan Chargers,Mumbai Indians,8,0,6,2008,Deccan Chargers
335994,PP Ojha,Mumbai Indians,Deccan Chargers,14,0,12,2008,Mumbai Indians
335994,RP Singh,Mumbai Indians,Deccan Chargers,25,2,26,2008,Mumbai Indians
335994,SB Bangar,Mumbai Indians,Deccan Chargers,36,2,24,2008,Mumbai Indians
335994,SD Chitnis,Deccan Chargers,Mumbai Indians,23,0,13,2008,Deccan Chargers
335994,SM Pollock,Deccan Chargers,Mumbai Indians,33,0,12,2008,Deccan Chargers
335994,ST Jayasuriya,Deccan Chargers,Mumbai Indians,25,0,12,2008,Deccan Chargers
335994,Shahid Afridi,Mumbai Indians,Deccan Chargers,35,2,25,2008,Mumbai Indians
335995,B Lee,Delhi Daredevils,Kings XI Punjab,39,1,24,2008,Delhi Daredevils
335995,GD McGrath,Kings XI Punjab,Delhi Daredevils,33,1,24,2008,Kings XI Punjab
335995,IK Pathan,Delhi Daredevils,Kings XI Punjab,31,3,27,2008,Delhi Daredevils
335995,MF Maharoof,Kings XI Punjab,Delhi Daredevils,32,0,19,2008,Kings XI Punjab
335995,Mohammad Asif,Kings XI Punjab,Delhi Daredevils,42,2,25,2008,Kings XI Punjab
335995,PP Chawla,Delhi Daredevils,Kings XI Punjab,31,0,25,2008,Delhi Daredevils
335995,R Bhatia,Kings XI Punjab,Delhi Daredevils,6,1,7,2008,Kings XI Punjab
335995,S Sreesanth,Delhi Daredevils,Kings XI Punjab,27,0,12,2008,Delhi Daredevils
335995,Shoaib Malik,Kings XI Punjab,Delhi Daredevils,35,1,24,2008,Kings XI Punjab
335995,VRV Singh,Delhi Daredevils,Kings XI Punjab,29,3,24,2008,Delhi Daredevils
335995,VY Mahesh,Kings XI Punjab,Delhi Daredevils,23,1,24,2008,Kings XI Punjab
335995,Yuvraj Singh,Delhi Daredevils,Kings XI Punjab,12,1,13,2008,Delhi Daredevils
335996,B Akhil,Chennai Super Kings,Royal Challengers Bangalore,34,0,24,2008,Chennai Super Kings
335996,DW Steyn,Chennai Super Kings,Royal Challengers Bangalore,43,0,27,2008,Chennai Super Kings
335996,JA Morkel,Royal Challengers Bangalore,Chennai Super Kings,41,1,27,2008,Royal Challengers Bangalore
335996,JDP Oram,Royal Challengers Bangalore,Chennai Super Kings,29,2,26,2008,Royal Challengers Bangalore
335996,JH Kallis,Chennai Super Kings,Royal Challengers Bangalore,36,0,24,2008,Chennai Super Kings
335996,Joginder Sharma,Royal Challengers Bangalore,Chennai Super Kings,30,2,23,2008,Royal Challengers Bangalore
335996,MS Gony,Royal Challengers Bangalore,Chennai Super Kings,34,3,24,2008,Royal Challengers Bangalore
335996,P Amarnath,Royal Challengers Bangalore,Chennai Super Kings,38,2,24,2008,Royal Challengers Bangalore
335996,P Kumar,Chennai Super Kings,Royal Challengers Bangalore,29,2,24,2008,Chennai Super Kings
335996,Z Khan,Chennai Super Kings,Royal Challengers Bangalore,40,3,24,2008,Chennai Super Kings
335997,A Nehra,Kolkata Knight Riders,Mumbai Indians,9,0,6,2008,Kolkata Knight Riders
335997,AB Agarkar,Mumbai Indians,Kolkata Knight Riders,27,1,28,2008,Mumbai Indians
335997,AB Dinda,Mumbai Indians,Kolkata Knight Riders,20,1,24,2008,Mumbai Indians
335997,CRD Fernando,Kolkata Knight Riders,Mumbai Indians,45,1,26,2008,Kolkata Knight Riders
335997,DJ Bravo,Kolkata Knight Riders,Mumbai Indians,26,1,25,2008,Kolkata Knight Riders
335997,DS Kulkarni,Kolkata Knight Riders,Mumbai Indians,28,0,19,2008,Kolkata Knight Riders
335997,I Sharma,Mumbai Indians,Kolkata Knight Riders,33,1,22,2008,Mumbai Indians
335997,LR Shukla,Mumbai Indians,Kolkata Knight Riders,11,0,6,2008,Mumbai Indians
335997,M Kartik,Mumbai Indians,Kolkata Knight Riders,27,0,19,2008,Mumbai Indians
335997,Mohammad Hafeez,Mumbai Indians,Kolkata Knight Riders,21,0,7,2008,Mumbai Indians
335997,SC Ganguly,Mumbai Indians,Kolkata Knight Riders,14,0,12,2008,Mumbai Indians
335997,SM Pollock,Kolkata Knight Riders,Mumbai Indians,27,2,24,2008,Kolkata Knight Riders
335997,ST Jayasuriya,Kolkata Knight Riders,Mumbai Indians,15,4,25,2008,Kolkata Knight Riders
335998,DL Vettori,Royal Challengers Bangalore,Delhi Daredevils,19,1,24,2008,Royal Challengers Bangalore
335998,DW Steyn,Delhi Daredevils,Royal Challengers Bangalore,31,2,26,2008,Delhi Daredevils
335998,GD McGrath,Royal Challengers Bangalore,Delhi Daredevils,29,4,24,2008,Royal Challengers Bangalore
335998,JH Kallis,Delhi Daredevils,Royal Challengers Bangalore,39,2,24,2008,Delhi Daredevils
335998,Mohammad Asif,Royal Challengers Bangalore,Delhi Daredevils,56,0,24,2008,Royal Challengers Bangalore
335998,P Kumar,Delhi Daredevils,Royal Challengers Bangalore,24,0,24,2008,Delhi Daredevils
335998,R Bhatia,Royal Challengers Bangalore,Delhi Daredevils,14,0,6,2008,Royal Challengers Bangalore
335998,R Vinay Kumar,Delhi Daredevils,Royal Challengers Bangalore,25,0,12,2008,Delhi Daredevils
335998,SB Joshi,Delhi Daredevils,Royal Challengers Bangalore,19,0,6,2008,Delhi Daredevils
335998,Shoaib Malik,Royal Challengers Bangalore,Delhi Daredevils,12,0,6,2008,Royal Challengers Bangalore
335998,V Kohli,Delhi Daredevils,Royal Challengers Bangalore,11,0,6,2008,Delhi Daredevils
335998,V Sehwag,Royal Challengers Bangalore,Delhi Daredevils,32,0,12,2008,Royal Challengers Bangalore
335998,VY Mahesh,Royal Challengers Bangalore,Delhi Daredevils,31,0,25,2008,Royal Challengers Bangalore
335998,Z Khan,Delhi Daredevils,Royal Challengers Bangalore,46,1,24,2008,Delhi Daredevils
335999,D Kalyankrishna,Kings XI Punjab,Deccan Chargers,38,1,20,2008,Kings XI Punjab
335999,DNT Zoysa,Kings XI Punjab,Deccan Chargers,34,1,24,2008,Kings XI Punjab
335999,Gagandeep Singh,Deccan Chargers,Kings XI Punjab,37,1,24,2008,Deccan Chargers
335999,IK Pathan,Deccan Chargers,Kings XI Punjab,33,2,25,2008,Deccan Chargers
335999,PP Chawla,Deccan Chargers,Kings XI Punjab,28,4,24,2008,Deccan Chargers
335999,RP Singh,Kings XI Punjab,Deccan Chargers,38,0,25,2008,Kings XI Punjab
335999,S Sreesanth,Deccan Chargers,Kings XI Punjab,34,1,25,2008,Deccan Chargers
335999,SB Bangar,Kings XI Punjab,Deccan Chargers,26,1,24,2008,Kings XI Punjab
335999,Shahid Afridi,Kings XI Punjab,Deccan Chargers,28,0,18,2008,Kings XI Punjab
335999,VRV Singh,Deccan Chargers,Kings XI Punjab,36,0,24,2008,Deccan Chargers
335999,Y Venugopal Rao,Kings XI Punjab,Deccan Chargers,9,0,6,2008,Kings XI Punjab
336000,AB Agarkar,Rajasthan Royals,Kolkata Knight Riders,46,1,24,2008,Rajasthan Royals
