,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
71,Anirudh Singh,91.3,0,0,10.14,28.0,63,69,Anirudh Singh,4.0,15.75
72,Ankit Sharma,126.09,0,0,15.94,29.0,87,69,Ankit Sharma,7.0,12.43
73,Ankit Soni,77.78,0,0,11.11,1.0,7,9,Ankit Soni,2.0,3.5
74,Anmolpreet Singh,121.82,0,0,19.09,39.0,134,110,Anmolpreet Singh,7.0,19.14
75,Anuj Rawat,112.24,1,0,13.78,77.0,220,196,Anuj Rawat,12.0,18.33
76,Anureet Singh,76.6,0,0,6.38,22.0,36,47,Anureet Singh,4.0,9.0
77,Arjun Tendulkar,144.44,0,0,11.11,6.0,13,9,Arjun Tendulkar,1.0,13.0
78,Arshad Khan (2),120.0,0,0,6.67,10.0,18,15,Arshad Khan (2),2.0,9.0
79,Arshdeep Singh,65.79,0,0,7.89,9.0,25,38,Arshdeep Singh,4.0,6.25
80,Atharva Taide,136.76,2,0,19.12,57.0,186,136,Atharva Taide,7.0,26.57
81,Avesh Khan,155.0,0,0,25.0,5.0,31,20,Avesh Khan,2.0,15.5
82,Azhar Mahmood,124.76,2,0,16.72,135.0,388,311,Azhar Mahmood,19.0,20.42
83,B Akhil,133.33,0,0,17.54,21.0,76,57,B Akhil,6.0,12.67
84,B Chipli,109.38,1,0,13.67,111.0,280,256,B Chipli,15.0,18.67
85,B Indrajith,67.74,0,0,6.45,11.0,21,31,B Indrajith,3.0,7.0
86,B Kumar,91.88,0,0,9.74,138.0,283,308,B Kumar,32.0,8.84
87,B Laughlin,38.46,0,0,0.0,5.0,5,13,B Laughlin,2.0,2.5
88,B Lee,121.57,0,0,15.69,40.0,124,102,B Lee,10.0,12.4
89,B Sai Sudharsan,132.72,4,0,16.23,197.0,507,382,B Sai Sudharsan,11.0,46.09
90,B Stanlake,250.0,0,0,50.0,1.0,5,2,,0.0,5.0
91,B Sumanth,92.11,0,0,7.89,20.0,35,38,B Sumanth,1.0,35.0
92,BA Bhatt,85.71,0,0,14.29,0.0,6,7,BA Bhatt,1.0,6.0
93,BA Stokes,130.22,2,2,15.74,352.0,935,718,BA Stokes,38.0,24.61
94,BAW Mendis,50.0,0,0,0.0,3.0,3,6,BAW Mendis,2.0,1.5
95,BB McCullum,126.85,13,2,18.62,821.0,2882,2272,BB McCullum,104.0,27.71
96,BB Samantray,107.76,1,0,12.93,53.0,125,116,BB Samantray,5.0,25.0
97,BB Sran,71.43,0,0,0.0,9.0,10,14,BB Sran,1.0,10.0
98,BCJ Cutting,163.01,0,0,23.29,54.0,238,146,BCJ Cutting,11.0,21.64
99,BE Hendricks,33.33,0,0,0.0,1.0,1,3,BE Hendricks,1.0,1.0
100,BJ Haddin,163.64,0,0,27.27,3.0,18,11,BJ Haddin,1.0,18.0
101,BJ Hodge,121.42,6,0,14.31,549.0,1400,1153,BJ Hodge,42.0,33.33
102,BJ Rohrer,132.19,1,0,17.81,63.0,193,146,BJ Rohrer,7.0,27.57
103,BMAJ Mendis,85.19,0,0,0.0,19.0,23,27,BMAJ Mendis,3.0,7.67
104,BR Dunk,111.11,0,0,19.44,9.0,40,36,BR Dunk,3.0,13.33
105,Basil Thampi,86.49,0,0,5.41,19.0,32,37,Basil Thampi,1.0,32.0
106,Bipul Sharma,150.81,0,0,16.13,70.0,187,124,Bipul Sharma,8.0,23.38
107,C Green,157.49,2,1,21.6,141.0,452,287,C Green,9.0,50.22
108,C Madan,71.43,0,0,14.29,3.0,15,21,C Madan,1.0,15.0
109,C Munro,122.92,0,0,18.75,49.0,177,144,C Munro,12.0,14.75
110,C Nanda,0.0,0,0,0.0,0.0,0,1,C Nanda,1.0,0.0
111,C Sakariya,64.52,0,0,9.68,7.0,20,31,C Sakariya,6.0,3.33
112,C de Grandhomme,132.31,0,0,15.72,107.0,303,229,C de Grandhomme,16.0,18.94
113,CA Ingram,112.02,0,0,14.75,78.0,205,183,CA Ingram,12.0,17.08
114,CA Lynn,136.45,10,0,20.33,360.0,1329,974,CA Lynn,39.0,34.08
115,CA Pujara,96.77,1,0,13.4,149.0,390,403,CA Pujara,19.0,20.53
116,CH Gayle,142.12,32,6,21.81,1113.0,4997,3516,CH Gayle,126.0,39.66
117,CH Morris,149.64,2,0,18.4,203.0,618,413,CH Morris,28.0,22.07
118,CJ Anderson,123.39,3,0,16.28,165.0,538,436,CJ Anderson,22.0,24.45
119,CJ Ferguson,82.35,0,0,7.56,52.0,98,119,CJ Ferguson,6.0,16.33
120,CJ Jordan,100.0,0,0,7.41,37.0,81,81,CJ Jordan,10.0,8.1
121,CJ McKay,53.33,0,0,0.0,7.0,8,15,CJ McKay,1.0,8.0
122,CK Kapugedera,66.67,0,0,0.0,14.0,16,24,CK Kapugedera,3.0,5.33
123,CK Langeveldt,88.89,0,0,11.11,2.0,8,9,CK Langeveldt,2.0,4.0
124,CL White,125.45,6,0,14.73,386.0,971,774,CL White,36.0,26.97
125,CM Gautam,106.96,0,0,14.56,51.0,169,158,CM Gautam,10.0,16.9
126,CR Brathwaite,150.83,0,0,21.67,41.0,181,120,CR Brathwaite,13.0,13.92
127,CR Woakes,101.3,0,0,11.69,35.0,78,77,CR Woakes,6.0,13.0
128,CRD Fernando,133.33,0,0,0.0,3.0,4,3,,0.0,4.0
129,CV Varun,51.02,0,0,4.08,16.0,25,49,CV Varun,4.0,6.25
130,D Brevis,138.79,0,0,21.55,36.0,161,116,D Brevis,7.0,23.0
131,D Kalyankrishna,37.5,0,0,0.0,3.0,3,8,D Kalyankrishna,1.0,3.0
132,D Padikkal,120.43,9,1,16.55,526.0,1521,1263,D Padikkal,55.0,27.65
133,D Pretorius,157.14,0,0,21.43,12.0,44,28,D Pretorius,4.0,11.0
134,D Salunkhe,137.5,0,0,20.83,11.0,33,24,D Salunkhe,2.0,16.5
135,D Wiese,140.95,0,0,18.1,52.0,148,105,D Wiese,5.0,29.6
136,D du Preez,76.92,0,0,0.0,8.0,10,13,D du Preez,1.0,10.0
137,DA Miller,134.22,12,1,15.48,1034.0,2714,2022,DA Miller,76.0,35.71
138,DA Warner,135.6,61,4,18.48,2040.0,6399,4719,DA Warner,156.0,41.02
139,DAJ Bracewell,133.33,0,0,11.11,7.0,12,9,,0.0,12.0
140,DB Das,113.86,0,0,14.61,104.0,304,267,DB Das,14.0,21.71
141,DB Ravi Teja,115.38,1,0,13.54,157.0,375,325,DB Ravi Teja,19.0,19.74
142,DE Bollinger,91.3,0,0,8.7,10.0,21,23,DE Bollinger,1.0,21.0
143,DG Nalkande,0.0,0,0,0.0,0.0,0,1,DG Nalkande,1.0,0.0
144,DH Yagnik,119.72,0,0,17.61,55.0,170,142,DH Yagnik,10.0,17.0
145,DJ Bravo,125.1,5,0,14.92,563.0,1560,1247,DJ Bravo,69.0,22.61
146,DJ Harris,107.77,0,0,15.53,35.0,111,103,DJ Harris,4.0,27.75
147,DJ Hooda,124.27,7,0,12.98,556.0,1321,1063,DJ Hooda,72.0,18.35
148,DJ Hussey,120.07,5,0,13.62,526.0,1322,1101,DJ Hussey,49.0,26.98
149,DJ Jacobs,91.09,0,0,13.86,25.0,92,101,DJ Jacobs,7.0,13.14
