batsman,match_id,batting_team,bowling_team,runs_scored,year
AM Rahane,548345,Rajasthan Royals,Delhi Daredevils,84,2012
BJ Hodge,548345,Rajasthan Royals,Delhi Daredevils,22,2012
DPMD Jayawardene,548345,Delhi Daredevils,Rajasthan Royals,6,2012
IK Pathan,548345,Delhi Daredevils,Rajasthan Royals,7,2012
KP Pietersen,548345,Delhi Daredevils,Rajasthan Royals,5,2012
LRPL Taylor,548345,Delhi Daredevils,Rajasthan Royals,25,2012
NV Ojha,548345,Delhi Daredevils,Rajasthan Royals,11,2012
OA Shah,548345,Rajasthan Royals,Delhi Daredevils,1,2012
R Dravid,548345,Rajasthan Royals,Delhi Daredevils,40,2012
V Sehwag,548345,Delhi Daredevils,Rajasthan Royals,63,2012
Y Nagar,548345,Delhi Daredevils,Rajasthan Royals,27,2012
A Ashish Reddy,548346,Deccan Chargers,Mumbai Indians,10,2012
A Mishra,548346,Deccan Chargers,Mumbai Indians,1,2012
AT Rayudu,548346,Mumbai Indians,Deccan Chargers,19,2012
B Chipli,548346,Deccan Chargers,Mumbai Indians,1,2012
DT Christian,548346,Deccan Chargers,Mumbai Indians,5,2012
DW Steyn,548346,Deccan Chargers,Mumbai Indians,3,2012
IR Jaggi,548346,Deccan Chargers,Mumbai Indians,2,2012
JEC Franklin,548346,Mumbai Indians,Deccan Chargers,13,2012
JP Duminy,548346,Deccan Chargers,Mumbai Indians,25,2012
KD Karthik,548346,Mumbai Indians,Deccan Chargers,2,2012
PA Patel,548346,Deccan Chargers,Mumbai Indians,19,2012
RG Sharma,548346,Mumbai Indians,Deccan Chargers,42,2012
RJ Peterson,548346,Mumbai Indians,Deccan Chargers,1,2012
S Dhawan,548346,Deccan Chargers,Mumbai Indians,29,2012
SR Tendulkar,548346,Mumbai Indians,Deccan Chargers,14,2012
BB McCullum,548347,Kolkata Knight Riders,Chennai Super Kings,2,2012
DB Das,548347,Kolkata Knight Riders,Chennai Super Kings,11,2012
DJ Bravo,548347,Chennai Super Kings,Kolkata Knight Riders,12,2012
F du Plessis,548347,Chennai Super Kings,Kolkata Knight Riders,3,2012
G Gambhir,548347,Kolkata Knight Riders,Chennai Super Kings,63,2012
JA Morkel,548347,Chennai Super Kings,Kolkata Knight Riders,13,2012
JH Kallis,548347,Kolkata Knight Riders,Chennai Super Kings,26,2012
MEK Hussey,548347,Chennai Super Kings,Kolkata Knight Riders,18,2012
MK Tiwary,548347,Kolkata Knight Riders,Chennai Super Kings,13,2012
MS Dhoni,548347,Chennai Super Kings,Kolkata Knight Riders,34,2012
RA Jadeja,548347,Chennai Super Kings,Kolkata Knight Riders,9,2012
SK Raina,548347,Chennai Super Kings,Kolkata Knight Riders,44,2012
YK Pathan,548347,Kolkata Knight Riders,Chennai Super Kings,12,2012
BB Samantray,548348,Deccan Chargers,Pune Warriors,2,2012
CL White,548348,Deccan Chargers,Pune Warriors,74,2012
JP Duminy,548348,Deccan Chargers,Pune Warriors,4,2012
KC Sangakkara,548348,Deccan Chargers,Pune Warriors,82,2012
M Manhas,548348,Pune Warriors,Deccan Chargers,7,2012
MJ Clarke,548348,Pune Warriors,Deccan Chargers,41,2012
MN Samuels,548348,Pune Warriors,Deccan Chargers,1,2012
RV Uthappa,548348,Pune Warriors,Deccan Chargers,26,2012
S Dhawan,548348,Deccan Chargers,Pune Warriors,13,2012
SC Ganguly,548348,Pune Warriors,Deccan Chargers,45,2012
SPD Smith,548348,Pune Warriors,Deccan Chargers,47,2012
AA Chavan,548349,Rajasthan Royals,Delhi Daredevils,7,2012
AL Menaria,548349,Rajasthan Royals,Delhi Daredevils,2,2012
AM Rahane,548349,Rajasthan Royals,Delhi Daredevils,42,2012
BJ Hodge,548349,Rajasthan Royals,Delhi Daredevils,1,2012
KP Pietersen,548349,Delhi Daredevils,Rajasthan Royals,36,2012
LRPL Taylor,548349,Delhi Daredevils,Rajasthan Royals,6,2012
NV Ojha,548349,Delhi Daredevils,Rajasthan Royals,11,2012
OA Shah,548349,Rajasthan Royals,Delhi Daredevils,1,2012
R Dravid,548349,Rajasthan Royals,Delhi Daredevils,57,2012
SP Goswami,548349,Rajasthan Royals,Delhi Daredevils,18,2012
SR Watson,548349,Rajasthan Royals,Delhi Daredevils,8,2012
V Sehwag,548349,Delhi Daredevils,Rajasthan Royals,73,2012
Y Nagar,548349,Delhi Daredevils,Rajasthan Royals,9,2012
AB McDonald,548350,Royal Challengers Bangalore,Kings XI Punjab,9,2012
AB de Villiers,548350,Royal Challengers Bangalore,Kings XI Punjab,17,2012
AM Nayar,548350,Kings XI Punjab,Royal Challengers Bangalore,2,2012
AUK Pathan,548350,Royal Challengers Bangalore,Kings XI Punjab,2,2012
Azhar Mahmood,548350,Kings XI Punjab,Royal Challengers Bangalore,2,2012
CH Gayle,548350,Royal Challengers Bangalore,Kings XI Punjab,71,2012
DJ Hussey,548350,Kings XI Punjab,Royal Challengers Bangalore,45,2012
MA Agarwal,548350,Royal Challengers Bangalore,Kings XI Punjab,7,2012
Mandeep Singh,548350,Kings XI Punjab,Royal Challengers Bangalore,43,2012
N Saini,548350,Kings XI Punjab,Royal Challengers Bangalore,50,2012
P Dogra,548350,Kings XI Punjab,Royal Challengers Bangalore,3,2012
PP Chawla,548350,Kings XI Punjab,Royal Challengers Bangalore,6,2012
SE Marsh,548350,Kings XI Punjab,Royal Challengers Bangalore,8,2012
SS Tiwary,548350,Royal Challengers Bangalore,Kings XI Punjab,1,2012
V Kohli,548350,Royal Challengers Bangalore,Kings XI Punjab,45,2012
AT Rayudu,548351,Mumbai Indians,Pune Warriors,1,2012
B Kumar,548351,Pune Warriors,Mumbai Indians,10,2012
JD Ryder,548351,Pune Warriors,Mumbai Indians,9,2012
JEC Franklin,548351,Mumbai Indians,Pune Warriors,25,2012
KD Karthik,548351,Mumbai Indians,Pune Warriors,18,2012
M Manhas,548351,Pune Warriors,Mumbai Indians,42,2012
MJ Clarke,548351,Pune Warriors,Mumbai Indians,14,2012
PP Ojha,548351,Mumbai Indians,Pune Warriors,1,2012
RG Sharma,548351,Mumbai Indians,Pune Warriors,3,2012
RJ Peterson,548351,Mumbai Indians,Pune Warriors,13,2012
RV Uthappa,548351,Pune Warriors,Mumbai Indians,18,2012
SC Ganguly,548351,Pune Warriors,Mumbai Indians,16,2012
SL Malinga,548351,Mumbai Indians,Pune Warriors,14,2012
SPD Smith,548351,Pune Warriors,Mumbai Indians,2,2012
SR Tendulkar,548351,Mumbai Indians,Pune Warriors,34,2012
WD Parnell,548351,Pune Warriors,Mumbai Indians,2,2012
A Ashish Reddy,548352,Deccan Chargers,Chennai Super Kings,3,2012
AA Jhunjhunwala,548352,Deccan Chargers,Chennai Super Kings,1,2012
CL White,548352,Deccan Chargers,Chennai Super Kings,77,2012
DJ Bravo,548352,Chennai Super Kings,Deccan Chargers,12,2012
DT Christian,548352,Deccan Chargers,Chennai Super Kings,27,2012
F du Plessis,548352,Chennai Super Kings,Deccan Chargers,42,2012
JA Morkel,548352,Chennai Super Kings,Deccan Chargers,13,2012
KC Sangakkara,548352,Deccan Chargers,Chennai Super Kings,1,2012
M Vijay,548352,Chennai Super Kings,Deccan Chargers,14,2012
MS Dhoni,548352,Chennai Super Kings,Deccan Chargers,34,2012
PA Patel,548352,Deccan Chargers,Chennai Super Kings,1,2012
RA Jadeja,548352,Chennai Super Kings,Deccan Chargers,4,2012
S Badrinath,548352,Chennai Super Kings,Deccan Chargers,1,2012
S Dhawan,548352,Deccan Chargers,Chennai Super Kings,36,2012
SK Raina,548352,Chennai Super Kings,Deccan Chargers,32,2012
AD Mathews,548353,Pune Warriors,Kolkata Knight Riders,35,2012
B Kumar,548353,Pune Warriors,Kolkata Knight Riders,11,2012
BB McCullum,548353,Kolkata Knight Riders,Pune Warriors,42,2012
DB Das,548353,Kolkata Knight Riders,Pune Warriors,15,2012
G Gambhir,548353,Kolkata Knight Riders,Pune Warriors,56,2012
JH Kallis,548353,Kolkata Knight Riders,Pune Warriors,1,2012
M Manhas,548353,Pune Warriors,Kolkata Knight Riders,1,2012
MJ Clarke,548353,Pune Warriors,Kolkata Knight Riders,1,2012
MK Pandey,548353,Pune Warriors,Kolkata Knight Riders,17,2012
MK Tiwary,548353,Kolkata Knight Riders,Pune Warriors,6,2012
RV Uthappa,548353,Pune Warriors,Kolkata Knight Riders,17,2012
SC Ganguly,548353,Pune Warriors,Kolkata Knight Riders,36,2012
SPD Smith,548353,Pune Warriors,Kolkata Knight Riders,14,2012
WD Parnell,548353,Pune Warriors,Kolkata Knight Riders,1,2012
YK Pathan,548353,Kolkata Knight Riders,Pune Warriors,11,2012
AL Menaria,548354,Rajasthan Royals,Kings XI Punjab,34,2012
AM Nayar,548354,Kings XI Punjab,Rajasthan Royals,9,2012
AM Rahane,548354,Rajasthan Royals,Kings XI Punjab,5,2012
Azhar Mahmood,548354,Kings XI Punjab,Rajasthan Royals,24,2012
BJ Hodge,548354,Rajasthan Royals,Kings XI Punjab,36,2012
DJ Hussey,548354,Kings XI Punjab,Rajasthan Royals,8,2012
Gurkeerat Singh,548354,Kings XI Punjab,Rajasthan Royals,23,2012
J Botha,548354,Rajasthan Royals,Kings XI Punjab,14,2012
Mandeep Singh,548354,Kings XI Punjab,Rajasthan Royals,7,2012
N Saini,548354,Kings XI Punjab,Rajasthan Royals,2,2012
P Kumar,548354,Kings XI Punjab,Rajasthan Royals,7,2012
PP Chawla,548354,Kings XI Punjab,Rajasthan Royals,5,2012
R Dravid,548354,Rajasthan Royals,Kings XI Punjab,46,2012
RJ Harris,548354,Kings XI Punjab,Rajasthan Royals,3,2012
SE Marsh,548354,Kings XI Punjab,Rajasthan Royals,34,2012
SR Watson,548354,Rajasthan Royals,Kings XI Punjab,36,2012
DJ Bravo,548355,Chennai Super Kings,Mumbai Indians,40,2012
DR Smith,548355,Mumbai Indians,Chennai Super Kings,24,2012
F du Plessis,548355,Chennai Super Kings,Mumbai Indians,9,2012
JA Morkel,548355,Chennai Super Kings,Mumbai Indians,3,2012
JEC Franklin,548355,Mumbai Indians,Chennai Super Kings,1,2012
KD Karthik,548355,Mumbai Indians,Chennai Super Kings,11,2012
M Vijay,548355,Chennai Super Kings,Mumbai Indians,41,2012
MS Dhoni,548355,Chennai Super Kings,Mumbai Indians,25,2012
RA Jadeja,548355,Chennai Super Kings,Mumbai Indians,9,2012
RG Sharma,548355,Mumbai Indians,Chennai Super Kings,60,2012
RP Singh,548355,Mumbai Indians,Chennai Super Kings,1,2012
S Badrinath,548355,Chennai Super Kings,Mumbai Indians,1,2012
SK Raina,548355,Chennai Super Kings,Mumbai Indians,36,2012
SR Tendulkar,548355,Mumbai Indians,Chennai Super Kings,74,2012
AB de Villiers,548356,Royal Challengers Bangalore,Deccan Chargers,47,2012
AUK Pathan,548356,Royal Challengers Bangalore,Deccan Chargers,4,2012
CH Gayle,548356,Royal Challengers Bangalore,Deccan Chargers,26,2012
CL White,548356,Deccan Chargers,Royal Challengers Bangalore,45,2012
DJ Harris,548356,Deccan Chargers,Royal Challengers Bangalore,47,2012
J Syed Mohammad,548356,Royal Challengers Bangalore,Deccan Chargers,4,2012
KC Sangakkara,548356,Deccan Chargers,Royal Challengers Bangalore,10,2012
MA Agarwal,548356,Royal Challengers Bangalore,Deccan Chargers,18,2012
S Dhawan,548356,Deccan Chargers,Royal Challengers Bangalore,73,2012
TM Dilshan,548356,Royal Challengers Bangalore,Deccan Chargers,71,2012
V Kohli,548356,Royal Challengers Bangalore,Deccan Chargers,9,2012
BB McCullum,548357,Kolkata Knight Riders,Delhi Daredevils,56,2012
DA Warner,548357,Delhi Daredevils,Kolkata Knight Riders,21,2012
DB Das,548357,Kolkata Knight Riders,Delhi Daredevils,1,2012
DPMD Jayawardene,548357,Delhi Daredevils,Kolkata Knight Riders,30,2012
G Gambhir,548357,Kolkata Knight Riders,Delhi Daredevils,36,2012
IK Pathan,548357,Delhi Daredevils,Kolkata Knight Riders,36,2012
JH Kallis,548357,Kolkata Knight Riders,Delhi Daredevils,30,2012
LRPL Taylor,548357,Delhi Daredevils,Kolkata Knight Riders,16,2012
MK Tiwary,548357,Kolkata Knight Riders,Delhi Daredevils,8,2012
NV Ojha,548357,Delhi Daredevils,Kolkata Knight Riders,2,2012
V Sehwag,548357,Delhi Daredevils,Kolkata Knight Riders,23,2012
VR Aaron,548357,Delhi Daredevils,Kolkata Knight Riders,1,2012
Y Nagar,548357,Delhi Daredevils,Kolkata Knight Riders,10,2012
YK Pathan,548357,Kolkata Knight Riders,Delhi Daredevils,7,2012
AD Mathews,548358,Pune Warriors,Rajasthan Royals,11,2012
AL Menaria,548358,Rajasthan Royals,Pune Warriors,18,2012
AP Majumdar,548358,Pune Warriors,Rajasthan Royals,30,2012
M Manhas,548358,Pune Warriors,Rajasthan Royals,11,2012
MJ Clarke,548358,Pune Warriors,Rajasthan Royals,16,2012
OA Shah,548358,Rajasthan Royals,Pune Warriors,4,2012
R Dravid,548358,Rajasthan Royals,Pune Warriors,14,2012
RV Uthappa,548358,Pune Warriors,Rajasthan Royals,13,2012
SC Ganguly,548358,Pune Warriors,Rajasthan Royals,14,2012
SPD Smith,548358,Pune Warriors,Rajasthan Royals,18,2012
SR Watson,548358,Rajasthan Royals,Pune Warriors,90,2012
WD Parnell,548358,Pune Warriors,Rajasthan Royals,2,2012
A Ashish Reddy,548359,Deccan Chargers,Kings XI Punjab,8,2012
A Mishra,548359,Deccan Chargers,Kings XI Punjab,8,2012
AA Jhunjhunwala,548359,Deccan Chargers,Kings XI Punjab,19,2012
Azhar Mahmood,548359,Kings XI Punjab,Deccan Chargers,14,2012
CL White,548359,Deccan Chargers,Kings XI Punjab,8,2012
DA Miller,548359,Kings XI Punjab,Deccan Chargers,28,2012
DJ Harris,548359,Deccan Chargers,Kings XI Punjab,30,2012
DJ Hussey,548359,Kings XI Punjab,Deccan Chargers,16,2012
J Theron,548359,Deccan Chargers,Kings XI Punjab,7,2012
KC Sangakkara,548359,Deccan Chargers,Kings XI Punjab,4,2012
Mandeep Singh,548359,Kings XI Punjab,Deccan Chargers,75,2012
N Saini,548359,Kings XI Punjab,Deccan Chargers,2,2012
PA Patel,548359,Deccan Chargers,Kings XI Punjab,17,2012
PA Reddy,548359,Deccan Chargers,Kings XI Punjab,24,2012
S Dhawan,548359,Deccan Chargers,Kings XI Punjab,8,2012
SD Chitnis,548359,Kings XI Punjab,Deccan Chargers,6,2012
SE Marsh,548359,Kings XI Punjab,Deccan Chargers,22,2012
AT Rayudu,548360,Mumbai Indians,Royal Challengers Bangalore,22,2012
CH Gayle,548360,Royal Challengers Bangalore,Mumbai Indians,82,2012
DR Smith,548360,Mumbai Indians,Royal Challengers Bangalore,2,2012
Harbhajan Singh,548360,Mumbai Indians,Royal Challengers Bangalore,20,2012
JEC Franklin,548360,Mumbai Indians,Royal Challengers Bangalore,1,2012
KA Pollard,548360,Mumbai Indians,Royal Challengers Bangalore,21,2012
KD Karthik,548360,Mumbai Indians,Royal Challengers Bangalore,44,2012
SR Tendulkar,548360,Mumbai Indians,Royal Challengers Bangalore,24,2012
TM Dilshan,548360,Royal Challengers Bangalore,Mumbai Indians,19,2012
V Kohli,548360,Royal Challengers Bangalore,Mumbai Indians,36,2012
AL Menaria,548361,Rajasthan Royals,Chennai Super Kings,6,2012
AM Rahane,548361,Rajasthan Royals,Chennai Super Kings,17,2012
BJ Hodge,548361,Rajasthan Royals,Chennai Super Kings,33,2012
DH Yagnik,548361,Rajasthan Royals,Chennai Super Kings,10,2012
DJ Bravo,548361,Chennai Super Kings,Rajasthan Royals,10,2012
J Botha,548361,Rajasthan Royals,Chennai Super Kings,12,2012
JA Morkel,548361,Chennai Super Kings,Rajasthan Royals,18,2012
MEK Hussey,548361,Chennai Super Kings,Rajasthan Royals,19,2012
MS Dhoni,548361,Chennai Super Kings,Rajasthan Royals,10,2012
R Dravid,548361,Rajasthan Royals,Chennai Super Kings,4,2012
RA Jadeja,548361,Chennai Super Kings,Rajasthan Royals,16,2012
S Anirudha,548361,Chennai Super Kings,Rajasthan Royals,18,2012
SK Raina,548361,Chennai Super Kings,Rajasthan Royals,23,2012
SR Watson,548361,Rajasthan Royals,Chennai Super Kings,5,2012
STR Binny,548361,Rajasthan Royals,Chennai Super Kings,27,2012
AB de Villiers,548362,Royal Challengers Bangalore,Pune Warriors,9,2012
AC Thomas,548362,Pune Warriors,Royal Challengers Bangalore,7,2012
AD Mathews,548362,Pune Warriors,Royal Challengers Bangalore,4,2012
AP Majumdar,548362,Pune Warriors,Royal Challengers Bangalore,31,2012
B Kumar,548362,Pune Warriors,Royal Challengers Bangalore,2,2012
CH Gayle,548362,Royal Challengers Bangalore,Pune Warriors,57,2012
K Upadhyay,548362,Pune Warriors,Royal Challengers Bangalore,11,2012
MD Mishra,548362,Pune Warriors,Royal Challengers Bangalore,4,2012
MJ Clarke,548362,Pune Warriors,Royal Challengers Bangalore,13,2012
RV Uthappa,548362,Pune Warriors,Royal Challengers Bangalore,38,2012
SPD Smith,548362,Pune Warriors,Royal Challengers Bangalore,24,2012
SS Tiwary,548362,Royal Challengers Bangalore,Pune Warriors,36,2012
TM Dilshan,548362,Royal Challengers Bangalore,Pune Warriors,53,2012
V Kohli,548362,Royal Challengers Bangalore,Pune Warriors,9,2012
DB Das,548363,Kolkata Knight Riders,Mumbai Indians,4,2012
HH Gibbs,548363,Mumbai Indians,Kolkata Knight Riders,66,2012
JH Kallis,548363,Kolkata Knight Riders,Mumbai Indians,79,2012
MK Tiwary,548363,Kolkata Knight Riders,Mumbai Indians,27,2012
MS Bisla,548363,Kolkata Knight Riders,Mumbai Indians,1,2012
RG Sharma,548363,Mumbai Indians,Kolkata Knight Riders,109,2012
SR Tendulkar,548363,Mumbai Indians,Kolkata Knight Riders,2,2012
YK Pathan,548363,Kolkata Knight Riders,Mumbai Indians,40,2012
DA Warner,548364,Delhi Daredevils,Chennai Super Kings,8,2012
DPMD Jayawardene,548364,Delhi Daredevils,Chennai Super Kings,8,2012
IK Pathan,548364,Delhi Daredevils,Chennai Super Kings,13,2012
M Vijay,548364,Chennai Super Kings,Delhi Daredevils,48,2012
MEK Hussey,548364,Chennai Super Kings,Delhi Daredevils,38,2012
NV Ojha,548364,Delhi Daredevils,Chennai Super Kings,3,2012
SK Raina,548364,Chennai Super Kings,Delhi Daredevils,28,2012
V Sehwag,548364,Delhi Daredevils,Chennai Super Kings,4,2012
Y Nagar,548364,Delhi Daredevils,Chennai Super Kings,44,2012
Y Venugopal Rao,548364,Delhi Daredevils,Chennai Super Kings,27,2012
A Nehra,548365,Pune Warriors,Rajasthan Royals,9,2012
AD Mathews,548365,Pune Warriors,Rajasthan Royals,23,2012
AM Rahane,548365,Rajasthan Royals,Pune Warriors,61,2012
AP Majumdar,548365,Pune Warriors,Rajasthan Royals,9,2012
B Kumar,548365,Pune Warriors,Rajasthan Royals,3,2012
BJ Hodge,548365,Rajasthan Royals,Pune Warriors,14,2012
CJ Ferguson,548365,Pune Warriors,Rajasthan Royals,23,2012
J Botha,548365,Rajasthan Royals,Pune Warriors,7,2012
JD Ryder,548365,Pune Warriors,Rajasthan Royals,1,2012
M Kartik,548365,Pune Warriors,Rajasthan Royals,8,2012
R Dravid,548365,Rajasthan Royals,Pune Warriors,21,2012
RV Uthappa,548365,Pune Warriors,Rajasthan Royals,6,2012
SC Ganguly,548365,Pune Warriors,Rajasthan Royals,2,2012
SPD Smith,548365,Pune Warriors,Rajasthan Royals,37,2012
SR Watson,548365,Rajasthan Royals,Pune Warriors,58,2012
STR Binny,548365,Rajasthan Royals,Pune Warriors,6,2012
Azhar Mahmood,548366,Kings XI Punjab,Deccan Chargers,31,2012
CL White,548366,Deccan Chargers,Kings XI Punjab,67,2012
DJ Hussey,548366,Kings XI Punjab,Deccan Chargers,65,2012
DT Christian,548366,Deccan Chargers,Kings XI Punjab,24,2012
Gurkeerat Singh,548366,Kings XI Punjab,Deccan Chargers,29,2012
KC Sangakkara,548366,Deccan Chargers,Kings XI Punjab,1,2012
Mandeep Singh,548366,Kings XI Punjab,Deccan Chargers,28,2012
N Saini,548366,Kings XI Punjab,Deccan Chargers,3,2012
PA Patel,548366,Deccan Chargers,Kings XI Punjab,18,2012
PP Chawla,548366,Kings XI Punjab,Deccan Chargers,8,2012
S Dhawan,548366,Deccan Chargers,Kings XI Punjab,71,2012
SD Chitnis,548366,Kings XI Punjab,Deccan Chargers,11,2012
SE Marsh,548366,Kings XI Punjab,Deccan Chargers,11,2012
AB de Villiers,548367,Royal Challengers Bangalore,Mumbai Indians,14,2012
AT Rayudu,548367,Mumbai Indians,Royal Challengers Bangalore,81,2012
CH Gayle,548367,Royal Challengers Bangalore,Mumbai Indians,6,2012
DR Smith,548367,Mumbai Indians,Royal Challengers Bangalore,6,2012
HH Gibbs,548367,Mumbai Indians,Royal Challengers Bangalore,2,2012
KA Pollard,548367,Mumbai Indians,Royal Challengers Bangalore,52,2012
KD Karthik,548367,Mumbai Indians,Royal Challengers Bangalore,16,2012
MA Agarwal,548367,Royal Challengers Bangalore,Mumbai Indians,64,2012
R Vinay Kumar,548367,Royal Challengers Bangalore,Mumbai Indians,1,2012
RG Sharma,548367,Mumbai Indians,Royal Challengers Bangalore,5,2012
SS Tiwary,548367,Royal Challengers Bangalore,Mumbai Indians,21,2012
TM Dilshan,548367,Royal Challengers Bangalore,Mumbai Indians,47,2012
V Kohli,548367,Royal Challengers Bangalore,Mumbai Indians,3,2012
Z Khan,548367,Royal Challengers Bangalore,Mumbai Indians,1,2012
BB McCullum,548368,Kolkata Knight Riders,Chennai Super Kings,37,2012
DB Das,548368,Kolkata Knight Riders,Chennai Super Kings,19,2012
DJ Bravo,548368,Chennai Super Kings,Kolkata Knight Riders,11,2012
F du Plessis,548368,Chennai Super Kings,Kolkata Knight Riders,13,2012
G Gambhir,548368,Kolkata Knight Riders,Chennai Super Kings,62,2012
JH Kallis,548368,Kolkata Knight Riders,Chennai Super Kings,4,2012
LR Shukla,548368,Kolkata Knight Riders,Chennai Super Kings,9,2012
M Vijay,548368,Chennai Super Kings,Kolkata Knight Riders,36,2012
MEK Hussey,548368,Chennai Super Kings,Kolkata Knight Riders,56,2012
MK Tiwary,548368,Kolkata Knight Riders,Chennai Super Kings,12,2012
MS Dhoni,548368,Chennai Super Kings,Kolkata Knight Riders,28,2012
R Bhatia,548368,Kolkata Knight Riders,Chennai Super Kings,1,2012
RA Jadeja,548368,Chennai Super Kings,Kolkata Knight Riders,3,2012
SK Raina,548368,Chennai Super Kings,Kolkata Knight Riders,8,2012
YK Pathan,548368,Kolkata Knight Riders,Chennai Super Kings,11,2012
Azhar Mahmood,548369,Kings XI Punjab,Delhi Daredevils,9,2012
DA Miller,548369,Kings XI Punjab,Delhi Daredevils,4,2012
DA Warner,548369,Delhi Daredevils,Kings XI Punjab,14,2012
DJ Hussey,548369,Kings XI Punjab,Delhi Daredevils,40,2012
DPMD Jayawardene,548369,Delhi Daredevils,Kings XI Punjab,56,2012
Gurkeerat Singh,548369,Kings XI Punjab,Delhi Daredevils,8,2012
IK Pathan,548369,Delhi Daredevils,Kings XI Punjab,19,2012
Mandeep Singh,548369,Kings XI Punjab,Delhi Daredevils,21,2012
N Saini,548369,Kings XI Punjab,Delhi Daredevils,15,2012
NV Ojha,548369,Delhi Daredevils,Kings XI Punjab,34,2012
P Awana,548369,Kings XI Punjab,Delhi Daredevils,4,2012
P Kumar,548369,Kings XI Punjab,Delhi Daredevils,8,2012
PP Chawla,548369,Kings XI Punjab,Delhi Daredevils,10,2012
SE Marsh,548369,Kings XI Punjab,Delhi Daredevils,13,2012
V Sehwag,548369,Delhi Daredevils,Kings XI Punjab,8,2012
Y Venugopal Rao,548369,Delhi Daredevils,Kings XI Punjab,7,2012
AT Rayudu,548370,Mumbai Indians,Kolkata Knight Riders,11,2012
BB McCullum,548370,Kolkata Knight Riders,Mumbai Indians,1,2012
DB Das,548370,Kolkata Knight Riders,Mumbai Indians,2,2012
G Gambhir,548370,Kolkata Knight Riders,Mumbai Indians,27,2012
HH Gibbs,548370,Mumbai Indians,Kolkata Knight Riders,13,2012
Harbhajan Singh,548370,Mumbai Indians,Kolkata Knight Riders,1,2012
KA Pollard,548370,Mumbai Indians,Kolkata Knight Riders,8,2012
KD Karthik,548370,Mumbai Indians,Kolkata Knight Riders,21,2012
MK Tiwary,548370,Kolkata Knight Riders,Mumbai Indians,41,2012
R Bhatia,548370,Kolkata Knight Riders,Mumbai Indians,12,2012
RG Sharma,548370,Mumbai Indians,Kolkata Knight Riders,12,2012
RP Singh,548370,Mumbai Indians,Kolkata Knight Riders,3,2012
SL Malinga,548370,Mumbai Indians,Kolkata Knight Riders,8,2012
SP Narine,548370,Kolkata Knight Riders,Mumbai Indians,9,2012
SR Tendulkar,548370,Mumbai Indians,Kolkata Knight Riders,27,2012
Shakib Al Hasan,548370,Kolkata Knight Riders,Mumbai Indians,13,2012
YK Pathan,548370,Kolkata Knight Riders,Mumbai Indians,21,2012
AC Gilchrist,548371,Kings XI Punjab,Chennai Super Kings,64,2012
Azhar Mahmood,548371,Kings XI Punjab,Chennai Super Kings,9,2012
DJ Bravo,548371,Chennai Super Kings,Kings XI Punjab,48,2012
DJ Hussey,548371,Kings XI Punjab,Chennai Super Kings,9,2012
JA Morkel,548371,Chennai Super Kings,Kings XI Punjab,14,2012
M Vijay,548371,Chennai Super Kings,Kings XI Punjab,10,2012
MEK Hussey,548371,Chennai Super Kings,Kings XI Punjab,7,2012
MS Dhoni,548371,Chennai Super Kings,Kings XI Punjab,6,2012
Mandeep Singh,548371,Kings XI Punjab,Chennai Super Kings,24,2012
N Saini,548371,Kings XI Punjab,Chennai Super Kings,1,2012
RA Jadeja,548371,Chennai Super Kings,Kings XI Punjab,13,2012
S Anirudha,548371,Chennai Super Kings,Kings XI Punjab,1,2012
SD Chitnis,548371,Kings XI Punjab,Chennai Super Kings,11,2012
SK Raina,548371,Chennai Super Kings,Kings XI Punjab,17,2012
AD Russell,548372,Delhi Daredevils,Royal Challengers Bangalore,31,2012
CH Gayle,548372,Royal Challengers Bangalore,Delhi Daredevils,128,2012
DA Warner,548372,Delhi Daredevils,Royal Challengers Bangalore,15,2012
DPMD Jayawardene,548372,Delhi Daredevils,Royal Challengers Bangalore,9,2012
IK Pathan,548372,Delhi Daredevils,Royal Challengers Bangalore,4,2012
LRPL Taylor,548372,Delhi Daredevils,Royal Challengers Bangalore,55,2012
NV Ojha,548372,Delhi Daredevils,Royal Challengers Bangalore,13,2012
P Negi,548372,Delhi Daredevils,Royal Challengers Bangalore,6,2012
TM Dilshan,548372,Royal Challengers Bangalore,Delhi Daredevils,10,2012
UBT Chand,548372,Delhi Daredevils,Royal Challengers Bangalore,18,2012
V Kohli,548372,Royal Challengers Bangalore,Delhi Daredevils,73,2012
Y Venugopal Rao,548372,Delhi Daredevils,Royal Challengers Bangalore,36,2012
A Ashish Reddy,548373,Deccan Chargers,Rajasthan Royals,10,2012
AL Menaria,548373,Rajasthan Royals,Deccan Chargers,20,2012
AM Rahane,548373,Rajasthan Royals,Deccan Chargers,6,2012
CA Lynn,548373,Deccan Chargers,Rajasthan Royals,6,2012
CL White,548373,Deccan Chargers,Rajasthan Royals,1,2012
J Botha,548373,Rajasthan Royals,Deccan Chargers,3,2012
JP Duminy,548373,Deccan Chargers,Rajasthan Royals,24,2012
OA Shah,548373,Rajasthan Royals,Deccan Chargers,28,2012
PA Patel,548373,Deccan Chargers,Rajasthan Royals,10,2012
PA Reddy,548373,Deccan Chargers,Rajasthan Royals,42,2012
R Dravid,548373,Rajasthan Royals,Deccan Chargers,39,2012
S Dhawan,548373,Deccan Chargers,Rajasthan Royals,26,2012
