batsman,match_id,batting_team,bowling_team,runs_scored,year
G Gambhir,335988,Delhi Daredevils,Deccan Chargers,12,2008
RG Sharma,335988,Deccan Chargers,Delhi Daredevils,66,2008
RP Singh,335988,Deccan Chargers,Delhi Daredevils,1,2008
S Dhawan,335988,Delhi Daredevils,Deccan Chargers,25,2008
SB Bangar,335988,Deccan Chargers,Delhi Daredevils,8,2008
Shahid Afridi,335988,Deccan Chargers,Delhi Daredevils,2,2008
V Sehwag,335988,Delhi Daredevils,Deccan Chargers,94,2008
VVS Laxman,335988,Deccan Chargers,Delhi Daredevils,2,2008
WPUJC Vaas,335988,Deccan Chargers,Delhi Daredevils,12,2008
Y Venugopal Rao,335988,Deccan Chargers,Delhi Daredevils,14,2008
A Nehra,335989,Mumbai Indians,Chennai Super Kings,1,2008
AM Nayar,335989,Mumbai Indians,Chennai Super Kings,45,2008
DJ Bravo,335989,Mumbai Indians,Chennai Super Kings,24,2008
Harbhajan Singh,335989,Mumbai Indians,Chennai Super Kings,28,2008
JDP Oram,335989,Chennai Super Kings,Mumbai Indians,5,2008
L Ronchi,335989,Mumbai Indians,Chennai Super Kings,2,2008
MA Khote,335989,Mumbai Indians,Chennai Super Kings,9,2008
MEK Hussey,335989,Chennai Super Kings,Mumbai Indians,5,2008
ML Hayden,335989,Chennai Super Kings,Mumbai Indians,81,2008
MS Dhoni,335989,Chennai Super Kings,Mumbai Indians,30,2008
PA Patel,335989,Chennai Super Kings,Mumbai Indians,14,2008
RV Uthappa,335989,Mumbai Indians,Chennai Super Kings,43,2008
S Badrinath,335989,Chennai Super Kings,Mumbai Indians,2,2008
SK Raina,335989,Chennai Super Kings,Mumbai Indians,53,2008
SM Pollock,335989,Mumbai Indians,Chennai Super Kings,17,2008
ST Jayasuriya,335989,Mumbai Indians,Chennai Super Kings,20,2008
A Symonds,335990,Deccan Chargers,Rajasthan Royals,117,2008
AC Gilchrist,335990,Deccan Chargers,Rajasthan Royals,13,2008
AS Yadav,335990,Deccan Chargers,Rajasthan Royals,16,2008
D Salunkhe,335990,Rajasthan Royals,Deccan Chargers,1,2008
GC Smith,335990,Rajasthan Royals,Deccan Chargers,71,2008
Kamran Akmal,335990,Rajasthan Royals,Deccan Chargers,12,2008
M Kaif,335990,Rajasthan Royals,Deccan Chargers,34,2008
Pankaj Singh,335990,Rajasthan Royals,Deccan Chargers,4,2008
RA Jadeja,335990,Rajasthan Royals,Deccan Chargers,1,2008
RG Sharma,335990,Deccan Chargers,Rajasthan Royals,36,2008
SK Warne,335990,Rajasthan Royals,Deccan Chargers,22,2008
SR Watson,335990,Rajasthan Royals,Deccan Chargers,4,2008
Shahid Afridi,335990,Deccan Chargers,Rajasthan Royals,10,2008
VVS Laxman,335990,Deccan Chargers,Rajasthan Royals,16,2008
YK Pathan,335990,Rajasthan Royals,Deccan Chargers,61,2008
A Nehra,335991,Mumbai Indians,Kings XI Punjab,2,2008
AM Nayar,335991,Mumbai Indians,Kings XI Punjab,2,2008
B Lee,335991,Kings XI Punjab,Mumbai Indians,16,2008
DJ Bravo,335991,Mumbai Indians,Kings XI Punjab,23,2008
DPMD Jayawardene,335991,Kings XI Punjab,Mumbai Indians,12,2008
DS Kulkarni,335991,Mumbai Indians,Kings XI Punjab,2,2008
IK Pathan,335991,Kings XI Punjab,Mumbai Indians,6,2008
K Goel,335991,Kings XI Punjab,Mumbai Indians,18,2008
KC Sangakkara,335991,Kings XI Punjab,Mumbai Indians,94,2008
L Ronchi,335991,Mumbai Indians,Kings XI Punjab,11,2008
MA Khote,335991,Mumbai Indians,Kings XI Punjab,8,2008
RR Sarwan,335991,Kings XI Punjab,Mumbai Indians,7,2008
RV Uthappa,335991,Mumbai Indians,Kings XI Punjab,21,2008
SM Pollock,335991,Mumbai Indians,Kings XI Punjab,22,2008
SS Tiwary,335991,Mumbai Indians,Kings XI Punjab,17,2008
ST Jayasuriya,335991,Mumbai Indians,Kings XI Punjab,1,2008
VRV Singh,335991,Kings XI Punjab,Mumbai Indians,4,2008
Yuvraj Singh,335991,Kings XI Punjab,Mumbai Indians,18,2008
GC Smith,335992,Rajasthan Royals,Royal Challengers Bangalore,49,2008
JH Kallis,335992,Royal Challengers Bangalore,Rajasthan Royals,11,2008
LRPL Taylor,335992,Royal Challengers Bangalore,Rajasthan Royals,44,2008
M Kaif,335992,Rajasthan Royals,Royal Challengers Bangalore,4,2008
MV Boucher,335992,Royal Challengers Bangalore,Rajasthan Royals,4,2008
P Kumar,335992,Royal Challengers Bangalore,Rajasthan Royals,34,2008
R Vinay Kumar,335992,Royal Challengers Bangalore,Rajasthan Royals,1,2008
S Chanderpaul,335992,Royal Challengers Bangalore,Rajasthan Royals,2,2008
SB Joshi,335992,Royal Challengers Bangalore,Rajasthan Royals,3,2008
SR Watson,335992,Rajasthan Royals,Royal Challengers Bangalore,61,2008
V Kohli,335992,Royal Challengers Bangalore,Rajasthan Royals,13,2008
YK Pathan,335992,Rajasthan Royals,Royal Challengers Bangalore,21,2008
Z Khan,335992,Royal Challengers Bangalore,Rajasthan Royals,17,2008
AB Agarkar,335993,Kolkata Knight Riders,Chennai Super Kings,11,2008
BB McCullum,335993,Kolkata Knight Riders,Chennai Super Kings,24,2008
I Sharma,335993,Kolkata Knight Riders,Chennai Super Kings,4,2008
LR Shukla,335993,Kolkata Knight Riders,Chennai Super Kings,42,2008
M Kartik,335993,Kolkata Knight Riders,Chennai Super Kings,3,2008
ML Hayden,335993,Chennai Super Kings,Kolkata Knight Riders,70,2008
MS Dhoni,335993,Chennai Super Kings,Kolkata Knight Riders,43,2008
Mohammad Hafeez,335993,Kolkata Knight Riders,Chennai Super Kings,16,2008
PA Patel,335993,Chennai Super Kings,Kolkata Knight Riders,21,2008
SC Ganguly,335993,Kolkata Knight Riders,Chennai Super Kings,12,2008
WP Saha,335993,Kolkata Knight Riders,Chennai Super Kings,27,2008
AC Gilchrist,335994,Deccan Chargers,Mumbai Indians,109,2008
AM Nayar,335994,Mumbai Indians,Deccan Chargers,34,2008
DJ Bravo,335994,Mumbai Indians,Deccan Chargers,34,2008
L Ronchi,335994,Mumbai Indians,Deccan Chargers,13,2008
MA Khote,335994,Mumbai Indians,Deccan Chargers,7,2008
RV Uthappa,335994,Mumbai Indians,Deccan Chargers,6,2008
SM Pollock,335994,Mumbai Indians,Deccan Chargers,31,2008
ST Jayasuriya,335994,Mumbai Indians,Deccan Chargers,18,2008
VVS Laxman,335994,Deccan Chargers,Mumbai Indians,37,2008
B Lee,335995,Kings XI Punjab,Delhi Daredevils,1,2008
DPMD Jayawardene,335995,Kings XI Punjab,Delhi Daredevils,15,2008
G Gambhir,335995,Delhi Daredevils,Kings XI Punjab,18,2008
IK Pathan,335995,Kings XI Punjab,Delhi Daredevils,10,2008
K Goel,335995,Kings XI Punjab,Delhi Daredevils,1,2008
KC Sangakkara,335995,Kings XI Punjab,Delhi Daredevils,4,2008
KD Karthik,335995,Delhi Daredevils,Kings XI Punjab,24,2008
MF Maharoof,335995,Delhi Daredevils,Kings XI Punjab,18,2008
MK Tiwary,335995,Delhi Daredevils,Kings XI Punjab,39,2008
R Bhatia,335995,Delhi Daredevils,Kings XI Punjab,17,2008
SM Katich,335995,Kings XI Punjab,Delhi Daredevils,75,2008
Shoaib Malik,335995,Delhi Daredevils,Kings XI Punjab,19,2008
TM Srivastava,335995,Kings XI Punjab,Delhi Daredevils,7,2008
V Sehwag,335995,Delhi Daredevils,Kings XI Punjab,6,2008
VY Mahesh,335995,Delhi Daredevils,Kings XI Punjab,6,2008
Yuvraj Singh,335995,Kings XI Punjab,Delhi Daredevils,40,2008
B Akhil,335996,Royal Challengers Bangalore,Chennai Super Kings,2,2008
B Chipli,335996,Royal Challengers Bangalore,Chennai Super Kings,8,2008
DW Steyn,335996,Royal Challengers Bangalore,Chennai Super Kings,1,2008
JH Kallis,335996,Royal Challengers Bangalore,Chennai Super Kings,14,2008
LRPL Taylor,335996,Royal Challengers Bangalore,Chennai Super Kings,53,2008
MEK Hussey,335996,Chennai Super Kings,Royal Challengers Bangalore,47,2008
ML Hayden,335996,Chennai Super Kings,Royal Challengers Bangalore,13,2008
MS Dhoni,335996,Chennai Super Kings,Royal Challengers Bangalore,65,2008
MV Boucher,335996,Royal Challengers Bangalore,Chennai Super Kings,4,2008
P Kumar,335996,Royal Challengers Bangalore,Chennai Super Kings,6,2008
PA Patel,335996,Chennai Super Kings,Royal Challengers Bangalore,21,2008
SK Raina,335996,Chennai Super Kings,Royal Challengers Bangalore,28,2008
V Kohli,335996,Royal Challengers Bangalore,Chennai Super Kings,12,2008
W Jaffer,335996,Royal Challengers Bangalore,Chennai Super Kings,50,2008
Z Khan,335996,Royal Challengers Bangalore,Chennai Super Kings,8,2008
AB Agarkar,335997,Kolkata Knight Riders,Mumbai Indians,2,2008
AM Rahane,335997,Mumbai Indians,Kolkata Knight Riders,4,2008
BB McCullum,335997,Kolkata Knight Riders,Mumbai Indians,1,2008
DB Das,335997,Kolkata Knight Riders,Mumbai Indians,29,2008
DJ Bravo,335997,Mumbai Indians,Kolkata Knight Riders,64,2008
