bowler,extras,fours_count,sixes_count,dot_balls_count,wickets_taken,match_count
Harshit Rana,5,22,10,62,6,89
I Malhotra,0,2,2,0,0,1
I Sharma,65,340,83,985,82,101
I Udana,8,26,11,49,8,10
IC Pandey,5,77,17,223,18,24
IC Porel,2,6,1,10,1,1
IK Pathan,65,293,82,889,80,101
IS Sodhi,1,9,8,66,9,59
Imran Tahir,17,97,83,457,82,48
Iqbal Abdulla,21,88,37,348,40,8
J Botha,14,60,24,269,25,34
J Little,7,24,14,75,7,10
J Suchith,12,47,26,144,19,21
J Syed Mohammad,4,18,12,50,8,11
J Theron,12,28,9,75,11,10
J Yadav,6,31,15,155,8,20
JA Morkel,66,264,56,690,85,87
JA Richardson,3,10,7,24,3,3
JC Archer,33,95,55,443,48,1
JD Ryder,4,21,13,85,8,7
JD Unadkat,46,241,130,666,92,40
JDP Oram,6,34,14,86,9,16
JDS Neesham,6,32,14,68,8,93
JE Root,0,1,0,2,0,14
JE Taylor,4,10,9,54,6,13
JEC Franklin,2,21,6,41,9,1
JH Kallis,44,236,58,644,65,5
JJ Bumrah,58,307,102,1158,148,15
JJ van der Wath,2,17,6,31,3,89
JL Pattinson,9,34,10,78,11,120
JM Kemp,3,6,1,18,3,3
JO Holder,50,132,54,341,53,10
JP Behrendorff,12,55,26,147,19,5
JP Duminy,20,53,33,245,23,46
JP Faulkner,41,160,67,443,61,15
JPR Scantlebury-Searles,3,4,7,7,2,17
JR Hazlewood,17,83,34,270,35,49
JR Hopes,9,44,28,119,14,60
JW Hastings,2,11,0,31,3,3
Jalaj S Saxena,0,4,0,5,0,27
Jaskaran Singh,5,23,4,42,6,20
Joginder Sharma,8,38,17,74,12,3
K Goel,1,9,2,20,0,6
K Gowtham,10,66,34,211,21,34
K Kartikeya,6,19,18,75,10,12
K Khejroliya,6,14,14,36,5,7
K Rabada,50,205,92,662,109,69
K Santokie,3,6,6,16,3,2
K Upadhyay,2,9,3,20,0,3
K Yadav,0,6,4,14,2,3
KA Jamieson,8,27,14,70,9,9
KA Pollard,88,169,78,424,69,107
KAJ Roach,3,10,3,20,0,2
KC Cariappa,6,23,19,62,8,9
KH Pandya,45,168,75,653,70,9
KJ Abbott,4,24,4,31,2,19
KK Ahmed,39,143,57,413,58,11
KK Cooper,21,59,23,211,33,105
KL Nagarkoti,5,21,14,52,5,5
KM Asif,6,16,14,48,7,43
KMA Paul,11,18,8,55,9,25
KMDN Kulasekara,5,16,0,47,5,11
KP Appanna,4,20,11,72,9,7
KP Pietersen,5,10,9,58,7,8
KR Mayers,2,8,0,14,0,5
KR Sen,5,27,12,66,8,13
KS Williamson,0,1,2,2,0,13
KV Sharma,20,99,108,471,70,6
KW Richardson,9,40,23,137,20,9
Kamran Khan,10,25,10,71,10,2
Karanveer Singh,9,19,19,66,12,71
Kartik Tyagi,25,65,30,151,15,73
Kuldeep Yadav,27,105,106,459,71,15
L Ablish,3,11,1,11,3,3
L Balaji,50,188,69,590,76,73
L Ngidi,16,39,22,139,25,14
LA Carseldine,1,1,0,4,1,1
LE Plunkett,4,15,12,42,4,17
LH Ferguson,33,120,45,333,39,7
LI Meriwala,0,4,1,6,1,38
LJ Wright,4,5,9,15,2,1
LMP Simmons,0,2,2,2,1,6
LPC Silva,0,0,3,0,0,1
LR Shukla,7,39,16,120,15,1
LRPL Taylor,1,0,2,0,0,27
LS Livingstone,6,26,14,46,8,2
Lalit Yadav,5,21,19,83,10,18
M Ashwin,23,82,50,300,35,44
M Jansen,21,56,26,168,19,5
M Kartik,20,97,41,413,31,18
M Manhas,0,2,1,15,0,55
M Markande,6,67,35,190,29,3
M Morkel,50,230,61,745,77,30
M Muralitharan,46,105,67,648,64,70
M Ntini,0,29,8,109,7,66
M Pathirana,33,33,9,129,21,9
M Prasidh Krishna,58,197,56,498,50,14
M Theekshana,5,47,24,156,23,51
M Vijay,1,6,0,8,0,22
M de Lange,5,21,4,42,5,4
MA Khote,0,4,2,6,2,2
MA Starc,27,77,8,259,34,26
MA Wood,6,13,12,54,11,5
MB Parmar,1,6,0,4,0,2
MC Henriques,27,123,38,316,42,1
MF Maharoof,14,46,16,179,27,3
MG Bracewell,0,7,6,26,6,1
MG Johnson,54,196,55,560,62,60
MG Neser,0,6,4,5,0,20
MJ Clarke,0,4,2,24,2,5
MJ Henry,1,7,5,7,1,54
MJ McClenaghan,61,181,72,536,71,1
MJ Santner,0,31,8,117,13,5
MK Lomror,1,8,3,21,1,2
MK Tiwary,2,2,7,10,1,56
MM Ali,10,36,44,261,33,15
MM Patel,15,188,53,613,74,10
MM Sharma,38,289,98,749,119,6
MN Samuels,4,23,12,81,9,48
MP Stoinis,22,97,53,207,39,63
MR Marsh,24,62,23,180,36,100
MS Gony,32,135,53,366,37,11
MW Short,1,2,1,11,0,8
Mandeep Singh,0,1,2,1,0,4
Mashrafe Mortaza,2,4,4,7,0,17
Mayank Dagar,0,7,3,22,1,110
Mohammad Asif,6,37,8,71,8,79
Mohammad Hafeez,1,5,2,26,2,1
Mohammad Nabi,1,29,18,135,13,13
Mohammed Shami,66,360,126,1049,127,1
Mohammed Siraj,82,228,103,731,79,55
Mohit Rathee,0,3,2,3,0,31
Mohsin Khan (2),11,27,12,131,17,44
Monu Kumar,3,2,0,4,0,19
Mujeeb Ur Rahman,13,39,25,157,19,13
Mukesh Choudhary,18,47,17,119,16,10
Mukesh Kumar,10,29,19,65,7,48
Mustafizur Rahman,31,128,47,408,47,3
N Rana,5,27,7,59,10,24
NA Saini,19,106,40,289,24,32
NB Singh,1,2,0,16,1,7
ND Doshi,1,5,6,24,2,2
NJ Rimmington,0,3,0,10,0,4
NL McCullum,0,1,2,11,0,2
NLTC Perera,13,113,28,239,31,1
NM Coulter-Nile,25,123,34,388,48,2
NT Ellis,7,40,20,109,17,36
Naveen-ul-Haq,5,16,9,68,11,38
Nithish Kumar Reddy,0,2,5,10,0,13
Noor Ahmad,15,28,13,103,16,15
O Thomas,1,9,1,22,5,4
OC McCoy,17,20,9,50,11,8
OF Smith,4,12,16,36,6,6
P Amarnath,0,29,7,34,7,6
P Awana,23,107,35,308,39,33
P Dubey,1,6,5,20,1,4
P Kumar,102,338,104,1157,90,119
P Negi,17,57,47,249,35,42
P Parameswaran,4,23,10,66,9,8
P Prasanth,0,0,3,3,0,1
P Ray Barman,0,3,4,2,0,1
P Sahu,2,11,5,27,3,5
P Suyal,7,16,5,39,2,5
PC Valthaty,1,15,7,47,7,17
PD Collingwood,1,4,3,24,5,11
PH Solanki,0,1,2,12,2,10
PJ Cummins,34,126,54,379,45,6
PJ Sangwan,40,127,43,341,38,2
PM Sarvesh Kumar,1,7,0,11,1,42
PP Chawla,25,361,201,1306,179,42
PP Ojha,34,146,97,718,89,2
PV Tambe,12,64,28,217,28,180
PVD Chameera,11,48,13,123,9,90
PWH de Silva,3,43,49,211,35,33
Pankaj Singh,9,52,17,116,11,12
Parvez Rasool,1,22,11,63,4,26
R Ashwin,122,292,184,1530,172,194
R Bhatia,18,120,68,472,71,91
R Dhawan,24,69,24,216,25,35
R Goyal,0,1,2,7,0,1
R McLaren,14,69,11,129,12,18
R Ninan,0,3,5,8,3,2
R Parag,4,18,15,32,4,19
R Powell,2,2,2,4,1,2
R Rampaul,8,25,14,137,16,12
R Sai Kishore,2,7,5,27,6,5
R Sanjay Yadav,2,3,1,6,0,1
R Sathish,5,18,10,31,3,14
R Sharma,7,70,45,344,40,44
R Shepherd,2,8,7,24,3,3
R Shukla,7,21,9,44,5,7
R Tewatia,21,54,61,270,33,52
R Vinay Kumar,46,296,100,803,105,104
RA Jadeja,51,268,193,1194,152,197
RA Shaikh,0,2,0,1,0,1
RA Tripathi,0,2,0,0,0,1
RD Chahar,27,125,79,537,65,3
RE van der Merwe,12,25,17,159,21,109
RG More,2,5,1,5,1,3
RG Sharma,8,29,14,96,15,51
RJ Harris,26,119,27,396,45,68
RJ Peterson,0,5,5,21,3,21
RJW Topley,0,3,0,7,1,2
RN ten Doeschate,4,4,3,23,2,32
RP Meredith,21,63,26,160,19,37
RP Singh,84,254,70,792,90,4
RR Bhatkal,0,2,3,0,0,1
RR Bose,0,5,0,5,0,10
RR Powar,13,41,18,177,13,18
RR Raje,3,23,4,42,6,82
RS Bopara,4,25,10,69,11,1
RS Gavaskar,0,1,0,2,0,1
RS Hangargekar,6,6,2,14,3,26
RV Gomez,1,10,7,38,5,10
RV Patel,2,2,0,5,0,14
RW Price,0,2,2,1,0,1
Ramandeep Singh,5,5,2,13,6,2
Rashid Khan,24,196,108,1033,139,9
Rasikh Salam,1,7,2,16,0,1
Ravi Bishnoi,33,105,57,422,53,1
S Aravind,26,105,38,303,45,38
S Badree,3,28,14,116,11,12
S Dhawan,1,7,3,20,4,6
S Dube,5,12,7,25,4,13
S Gopal,8,77,68,316,49,48
S Kaul,22,166,65,411,58,55
S Kaushik,5,25,14,72,6,10
S Ladda,2,12,17,49,5,9
S Lamichhane,1,21,17,77,13,9
S Midhun,1,2,2,4,0,1
S Nadeem,23,114,73,471,48,70
S Narwal,7,17,13,38,5,6
S Rana,0,2,0,5,0,3
S Randiv,6,20,5,60,6,8
S Sandeep Warrier,3,16,4,44,2,5
S Sreesanth,39,130,39,422,41,44
S Sriram,0,4,4,2,0,2
S Tyagi,8,34,12,99,6,14
S Vidyut,1,1,2,5,1,1
SA Abbott,5,13,3,13,1,3
SA Yadav,0,1,0,2,0,1
SB Bangar,2,24,7,58,4,2
SB Jakati,10,97,60,359,47,116
SB Joshi,0,6,5,18,1,9
SB Styris,6,19,14,85,8,57
SB Wagh,6,21,2,50,5,4
SC Ganguly,3,25,14,82,10,11
SC Kuggeleijn,2,6,3,17,2,8
SD Chitnis,1,4,3,12,2,20
SE Bond,4,27,3,77,9,2
SE Rutherford,5,4,1,8,1,2
SJ Srivastava,21,50,13,108,14,8
SK Raina,22,71,44,299,25,6
SK Trivedi,34,154,51,536,65,27
SK Warne,24,91,56,447,57,10
SL Malinga,118,314,86,1230,170,70
SM Boland,1,6,1,15,2,2
SM Curran,39,143,61,312,42,32
SM Harwood,5,6,2,36,3,5
SM Pollock,4,30,9,132,11,7
SMSM Senanayake,3,17,5,75,9,3
SN Khan,0,1,0,0,0,5
SN Thakur,96,247,99,624,89,6
SP Narine,48,289,149,1513,163,6
SPD Smith,0,1,0,0,0,14
SR Tendulkar,1,6,1,5,0,69
SR Watson,92,293,74,853,92,75
SS Agarwal,0,3,3,7,1,54
SS Cottrell,10,19,8,60,6,122
SS Iyer,0,0,1,4,0,2
SS Mundhe,1,1,0,4,1,45
SS Sarkar,0,4,0,4,1,3
SSB Magala,1,5,0,6,1,13
ST Jayasuriya,5,22,16,88,13,8
STR Binny,16,76,14,204,23,1
SW Tait,44,71,12,232,24,83
Sachin Baby,0,1,0,5,2,11
Sandeep Sharma,82,336,119,1083,124,161
Shahbaz Ahmed,10,32,32,97,14,1
Shahid Afridi,4,19,7,65,9,4
Shakib Al Hasan,26,120,78,528,63,105
Shashank Singh,1,2,0,1,0,1
Shivam Mavi,31,92,38,268,30,6
Shivam Sharma,0,9,10,37,4,1
Shoaib Ahmed,1,14,7,35,5,1
Shoaib Akhtar,4,6,2,23,5,2
Shoaib Malik,5,7,3,18,2,2
Sikandar Raza,2,11,4,21,3,21
Simarjeet Singh,3,17,4,58,4,63
Sohail Tanvir,15,27,7,132,22,1
Sunny Gupta,0,4,3,1,0,11
Suyash Sharma,4,24,16,83,10,21
Swapnil Singh,1,3,6,12,1,7
T Henderson,0,5,0,15,1,2
T Natarajan,37,132,58,334,48,47
T Shamsi,0,14,8,32,3,5
T Stubbs,0,0,1,3,1,1
T Thushara,7,15,4,60,8,6
TA Boult,65,329,90,890,105,88
TG Southee,51,175,62,476,47,1
TK Curran,11,33,23,59,13,54
TL Suman,0,8,10,44,6,3
TM Dilshan,3,27,15,82,5,13
TM Head,0,3,5,7,2,11
TP Sudhindra,3,9,9,19,1,25
TS Mills,6,37,14,78,11,5
TU Deshpande,31,86,36,184,25,3
Tejas Baroka,0,2,2,6,0,10
Tilak Varma,1,3,0,8,0,23
UT Yadav,101,446,142,1212,136,6
Umar Gul,12,17,5,59,12,25
Umran Malik,17,93,27,219,29,140
V Kohli,6,25,11,56,4,26
V Pratap Singh,7,31,10,75,10,9
V Sehwag,1,19,16,45,6,15
V Shankar,14,29,12,81,9,22
VG Arora,9,38,7,73,8,10
VR Aaron,57,159,52,421,44,7
VR Iyer,2,8,5,17,3,2
VRV Singh,7,58,16,121,12,50
VS Malik,5,30,6,88,6,8
VS Yeligati,1,7,2,9,0,18
VY Mahesh,12,47,20,128,21,13
Vijaykumar Vyshak,8,20,14,40,9,2
Vivrant Sharma,2,1,3,5,0,17
WA Mota,2,4,5,25,4,7
WD Parnell,23,102,24,318,36,56
WPUJC Vaas,3,40,13,135,18,33
Washington Sundar,5,81,55,366,36,13
Y Gnaneswara Rao,0,1,0,3,0,1
Y Nagar,0,11,6,18,4,8
Y Prithvi Raj,3,6,2,8,1,2
Y Venugopal Rao,4,30,13,62,6,20
YA Abdulla,12,32,13,92,15,11
YBK Jaiswal,0,0,1,0,0,14
YK Pathan,34,99,57,422,42,9
YS Chahal,79,240,194,1152,187,1
Yash Dayal,14,43,24,100,13,82
Yash Thakur,14,19,16,70,13,144
Yudhvir Singh,1,10,2,26,3,3
Yuvraj Singh,12,59,41,269,36,73
Z Khan,68,312,64,935,103,99
,,,,,,
,,,,,,
